Device,Interface,Speed,State:last1d,State:Current,Last Change,Title,VLANs
KAd-A002-vfswb,Fa1,100000000,free,down,2015-12-01 13:07,,
KAd-A002-vfswb,Gi1/3,1000000000,free,down,2017-10-14 08:25,,
KAd-A002-vfswb,Gi1/4,1000000000,free,down,2015-12-01 13:07,,
KAd-A002-vfswb,Gi1/5,1000000000,free,down,2015-12-01 13:07,###39015,
KAd-A002-vfswb,Gi1/6,1000000000,free,down,2015-12-01 13:07,,
KAd-A002-vfswb,Gi2/1,100000000,used,up,2022-04-13 08:36,A222D/D.265 ###39499,
KAd-A002-vfswb,Gi2/2,100000000,used,up,2022-04-27 09:59,A222E/D.266 ###39499,
KAd-A002-vfswb,Gi2/3,1000000000,used,down,2022-06-28 14:58,A200D/D.243 ###39499,
KAd-A002-vfswb,Gi2/4,1000000000,free,down,2021-09-30 10:34,A222F/D.268 ###39499,
KAd-A002-vfswb,Gi2/5,1000000000,free,down,2022-02-16 10:42,A200E/D.245 ###39499,
KAd-A002-vfswb,Gi2/6,1000000000,free,down,2015-12-01 13:07,A200F/D.246 ###39499,
KAd-A002-vfswb,Gi2/7,1000000000,free,down,2016-05-12 16:16,A200F/D.247 ###39499,
KAd-A002-vfswb,Gi2/8,1000000000,free,down,2016-06-17 13:54,A200G/D.248 ###39499,
KAd-A002-vfswb,Gi2/9,1000000000,free,down,2015-12-01 13:07,A200G/D.249 ###39499,
KAd-A002-vfswb,Gi2/10,100000000,used,up,2022-06-25 02:00,A220C/D.274 ###39499,
KAd-A002-vfswb,Gi2/11,1000000000,free,down,2020-09-09 11:53,A220C/D.275 ###39499,
KAd-A002-vfswb,Gi2/12,100000000,used,up,2016-07-08 12:25,A220C/D.276 ###39499,
KAd-A002-vfswb,Gi2/13,1000000000,free,down,2015-12-01 13:07,A200B/D.241 ###39499,
KAd-A002-vfswb,Gi2/14,1000000000,free,down,2016-07-15 10:17,A200D/D.242 ###39499,
KAd-A002-vfswb,Gi2/15,1000000000,free,down,2022-06-27 16:31,A222E/D.267 ###39499,
KAd-A002-vfswb,Gi2/16,1000000000,used,up,2022-06-28 16:09,A200E/D.244 ###39499,
KAd-A002-vfswb,Gi2/17,1000000000,free,down,2021-09-29 10:58,A222F/D.269 ###39499,
KAd-A002-vfswb,Gi2/18,1000000000,free,down,2016-07-18 07:58,A222F/D.270 ###39499,
KAd-A002-vfswb,Gi2/19,1000000000,used,up,2022-06-28 15:08,A222F/D.271 ###39499,
KAd-A002-vfswb,Gi2/20,1000000000,free,down,2016-04-14 12:54,A222F/D.272 ###39499,
KAd-A002-vfswb,Gi2/21,1000000000,free,down,2015-12-01 13:07,A222F/D.273 ###39499,
KAd-A002-vfswb,Gi2/22,1000000000,free,down,2016-07-08 14:54,A200H/D.250 ###39499,
KAd-A002-vfswb,Gi2/23,100000000,used,up,2022-01-10 10:24,A200H/D.251 ###39499,
KAd-A002-vfswb,Gi2/24,100000000,used,up,2022-06-28 07:59,A222/D.252 ###39499,
KAd-A002-vfswb,Gi2/25,1000000000,used,down,2022-06-28 07:59,A222/D.253 ###39499,
KAd-A002-vfswb,Gi2/26,100000000,used,up,2021-12-17 10:52,A200J/D.254 ###39499,
KAd-A002-vfswb,Gi2/27,1000000000,free,down,2019-03-28 12:02,A200J/D.255 ###39499,
KAd-A002-vfswb,Gi2/28,100000000,used,up,2020-10-27 00:02,A200L/D.256 ###39499,
KAd-A002-vfswb,Gi2/29,1000000000,used,down,2022-06-28 16:04,A200L/D.257 ###39499,
KAd-A002-vfswb,Gi2/30,100000000,used,up,2022-06-22 09:45,A222A/D.258 ###39499,
KAd-A002-vfswb,Gi2/31,1000000000,free,down,2019-05-31 16:22,A222A/D.259 ###39499,
KAd-A002-vfswb,Gi2/32,1000000000,used,up,2022-06-28 08:04,A222B/D.260 ###39499,
KAd-A002-vfswb,Gi2/33,100000000,used,up,2022-06-28 08:03,A222B/D.261 ###39499,
KAd-A002-vfswb,Gi2/34,1000000000,free,down,2020-07-22 09:40,A222C/D.262 ###39499,
KAd-A002-vfswb,Gi2/35,100000000,used,up,2021-08-02 10:38,A222C/D.263 ###39499,
KAd-A002-vfswb,Gi2/36,1000000000,free,down,2017-09-22 10:43,A222D/D.264 ###39499,
KAd-A002-vfswb,Gi2/37,1000000000,free,down,2018-05-11 13:15,A220C/D.277 ###39499,
KAd-A002-vfswb,Gi2/38,1000000000,used,up,2022-06-28 16:24,A220C/D.278 ###39499,
KAd-A002-vfswb,Gi2/39,100000000,used,up,2018-03-12 13:54,A220A/D.531 ###39499,
KAd-A002-vfswb,Gi2/40,1000000000,free,down,2015-12-01 13:07,A220A/D.532 ###39499,
KAd-A002-vfswb,Gi2/41,1000000000,free,down,2016-06-07 08:53,A220C/D.281 ###39499,
KAd-A002-vfswb,Gi2/42,100000000,used,up,2022-01-03 16:11,A220C/D.282 ###39499,
KAd-A002-vfswb,Gi2/43,1000000000,used,up,2019-05-29 10:47,H100/D.527 ###39497,
KAd-A002-vfswb,Gi2/44,100000000,used,up,2021-12-04 03:24,A220A/D.284 ###39499,
